created_at,amount,count,open,close,low,high,vol
20191113220000,96.641661,1870.000000,8757.000000,8735.690000,8732.200000,8758.160000,845062.404896
20191113221500,252.241225,2570.000000,8735.700000,8761.640000,8735.540000,8778.000000,2208924.138650
20191113223000,57.843600,1537.000000,8761.920000,8763.280000,8752.480000,8764.410000,506538.475794
20191113224500,76.986577,1947.000000,8763.280000,8747.760000,8744.010000,8763.290000,673703.362138
20191113230000,125.999781,1801.000000,8748.490000,8744.550000,8740.500000,8756.520000,1102217.830940
20191113231500,232.076225,2121.000000,8742.000000,8749.570000,8736.740000,8753.450000,2029205.024520
20191113233000,132.711537,1712.000000,8749.550000,8757.950000,8747.610000,8759.940000,1161766.690200
20191113234500,78.383315,1576.000000,8754.950000,8749.020000,8742.890000,8755.580000,685870.090524
20191114000000,234.524906,2723.000000,8750.770000,8755.210000,8722.000000,8760.000000,2050287.078520
20191114001500,202.855119,2370.000000,8755.210000,8756.560000,8749.600000,8770.000000,1777070.494110
20191114003000,156.059438,1932.000000,8755.240000,8757.290000,8749.980000,8765.000000,1366938.765250
20191114004500,125.494935,1406.000000,8757.270000,8760.920000,8750.690000,8764.150000,1099002.291250
20191114010000,174.110332,1550.000000,8760.920000,8758.630000,8758.630000,8778.880000,1526609.953260
20191114011500,218.060938,1810.000000,8758.630000,8770.780000,8758.630000,8780.000000,1912692.536550
20191114013000,145.724683,1657.000000,8770.390000,8772.650000,8764.750000,8784.610000,1278642.737280
20191114014500,58.999134,1278.000000,8772.640000,8766.990000,8762.390000,8778.870000,517453.185588
20191114020000,68.047195,1214.000000,8766.960000,8767.090000,8760.750000,8773.710000,596611.686724
20191114021500,97.418223,1149.000000,8767.480000,8777.020000,8761.820000,8780.000000,854273.359318
20191114023000,83.365772,1331.000000,8776.810000,8766.740000,8757.370000,8777.980000,730669.362954
20191114024500,67.129009,1166.000000,8766.740000,8755.460000,8751.220000,8768.230000,588151.444310
20191114030000,122.657770,1372.000000,8755.360000,8757.010000,8749.850000,8765.310000,1074116.998100
20191114031500,65.484419,1091.000000,8757.030000,8756.960000,8752.260000,8765.610000,573664.909636
20191114033000,88.812281,1142.000000,8756.700000,8774.790000,8756.620000,8774.990000,778521.518468
20191114034500,364.987511,2349.000000,8774.810000,8781.210000,8767.820000,8786.800000,3204324.586890
20191114040000,450.262405,2605.000000,8781.280000,8785.160000,8775.740000,8800.010000,3958805.876170
20191114041500,159.745475,1523.000000,8784.920000,8792.010000,8778.120000,8799.290000,1403946.755630
20191114043000,187.536086,2229.000000,8792.000000,8765.680000,8755.100000,8792.000000,1644244.651170
20191114044500,37.785312,805.000000,8765.800000,8763.210000,8757.770000,8769.990000,331162.544938
20191114050000,43.780580,787.000000,8763.220000,8770.000000,8759.250000,8773.600000,383861.758225
20191114051500,55.390158,746.000000,8769.990000,8760.960000,8758.160000,8774.300000,485738.206611
20191114053000,58.448962,1366.000000,8760.830000,8767.460000,8753.870000,8770.000000,512157.161539
20191114054500,26.080696,934.000000,8768.210000,8768.210000,8763.040000,8773.920000,228718.178917
20191114060000,40.356045,869.000000,8768.460000,8765.000000,8759.610000,8769.520000,353639.118743
20191114061500,21.423523,602.000000,8765.000000,8760.990000,8760.570000,8765.000000,187725.022757
20191114063000,23.379208,709.000000,8761.010000,8763.790000,8756.940000,8764.920000,204822.330462
20191114064500,33.001267,643.000000,8763.790000,8765.900000,8761.720000,8766.350000,289249.430587
20191114070000,107.000026,1222.000000,8765.900000,8792.140000,8764.150000,8793.080000,939387.030038
20191114071500,131.289032,1817.000000,8792.130000,8781.980000,8776.800000,8796.980000,1153676.246190
20191114073000,141.361415,1762.000000,8782.000000,8786.380000,8778.410000,8793.980000,1242230.620490
20191114074500,107.097358,1466.000000,8784.730000,8775.920000,8768.500000,8788.880000,940097.766465
20191114080000,251.401310,2455.000000,8776.630000,8789.320000,8775.950000,8800.000000,2210276.921610
20191114081500,104.722531,1440.000000,8789.320000,8783.120000,8777.740000,8795.510000,920136.298873
20191114083000,85.014544,1521.000000,8783.020000,8778.420000,8775.900000,8788.000000,746545.846543
20191114084500,133.243175,1566.000000,8778.460000,8777.410000,8768.460000,8785.360000,1169345.712470
20191114090000,120.927247,1243.000000,8777.430000,8777.290000,8771.820000,8783.180000,1061226.450430
20191114091500,105.001366,1855.000000,8777.290000,8778.470000,8772.980000,8784.150000,921596.490391
20191114093000,103.150243,1273.000000,8778.440000,8776.570000,8773.600000,8785.000000,905668.029496
20191114094500,453.207621,2977.000000,8776.570000,8755.330000,8752.020000,8776.580000,3971971.328630
20191114100000,582.057898,4172.000000,8755.330000,8753.690000,8740.070000,8756.060000,5091903.180170
20191114101500,92.746165,1361.000000,8753.380000,8741.960000,8741.800000,8754.990000,811230.334388
20191114103000,172.821552,1595.000000,8741.960000,8747.300000,8739.160000,8759.180000,1511685.786270
20191114104500,177.611058,1087.000000,8747.470000,8747.170000,8743.000000,8749.630000,1553235.029820
20191114110000,197.777556,1321.000000,8747.200000,8754.150000,8747.200000,8758.990000,1731120.027150
20191114111500,314.068731,1717.000000,8754.160000,8751.020000,8746.500000,8757.600000,2748385.227320
20191114113000,191.574256,1261.000000,8749.400000,8752.500000,8743.400000,8754.830000,1675836.556270
20191114114500,193.943754,1964.000000,8752.500000,8761.420000,8752.400000,8770.230000,1699449.678750
20191114120000,163.858177,1497.000000,8761.410000,8751.700000,8747.670000,8767.960000,1435129.692280
20191114121500,791.374246,4717.000000,8751.700000,8716.410000,8700.000000,8754.690000,6900344.593490
